audit_id,severity,domain,title,source,github_issue,status,milestone,labels,notes
C1,critical,performance,Cluster hierarchy N+1 loads 25k+ Image records,TECHNICAL_DEBT.md:20-25,49,open,Debt-P0,"priority:critical,area:performance",
C2,critical,performance,Pipeline downloads all S3 images before DB dedup check,TECHNICAL_DEBT.md:27-33,50,open,Debt-P0,"priority:critical,area:performance",
C3,critical,devops,No database backup/restore strategy,TECHNICAL_DEBT.md:34-38,51,open,Debt-P0,"priority:critical,area:devops",
C4,critical,testing,Missing test: image file thumbnail param,TECHNICAL_DEBT.md:40-42,52,open,Debt-P0,"priority:critical,area:testing",Expanded from C4-C9 bundle
C5,critical,testing,Missing test: search error handling,TECHNICAL_DEBT.md:40-42,52,open,Debt-P0,"priority:critical,area:testing",Expanded from C4-C9 bundle
C6,critical,testing,Missing test: l1_group_id filter,TECHNICAL_DEBT.md:40-42,52,open,Debt-P0,"priority:critical,area:testing",Expanded from C4-C9 bundle
C7,critical,testing,Missing test: pipeline retry exhaustion,TECHNICAL_DEBT.md:40-42,52,open,Debt-P0,"priority:critical,area:testing",Expanded from C4-C9 bundle
C8,critical,testing,Missing test: GDrive error paths,TECHNICAL_DEBT.md:40-42,52,open,Debt-P0,"priority:critical,area:testing",Expanded from C4-C9 bundle
C9,critical,testing,Missing test: concurrent download failures,TECHNICAL_DEBT.md:40-42,52,open,Debt-P0,"priority:critical,area:testing",Expanded from C4-C9 bundle
H-DO1,high,devops,Fix Dockerfile.railway healthcheck dependency,TECHNICAL_DEBT.md:48,60,open,Debt-P1-QuickWins,"priority:high,quick-win,area:devops",
H-P2,high,performance,Add composite index ix_jobs_status_created_at,TECHNICAL_DEBT.md:49,61,open,Debt-P1-QuickWins,"priority:high,quick-win,area:performance",
H-API3,high,api-design,Add Retry-After header on 429 responses,TECHNICAL_DEBT.md:50,62,open,Debt-P1-QuickWins,"priority:high,quick-win,area:api-design",
H-API1-2,high,api-design,Add Location header on 201/202 responses,TECHNICAL_DEBT.md:51,63,open,Debt-P1-QuickWins,"priority:high,quick-win,area:api-design",
H-API5,high,api-design,Fix hardcoded l1_group_id=0 in visualization endpoint,TECHNICAL_DEBT.md:52,64,open,Debt-P1-QuickWins,"priority:high,quick-win,area:api-design",
H-D3,high,database,Optimize L2 clustering query projection,TECHNICAL_DEBT.md:53,65,open,Debt-P1-QuickWins,"priority:high,quick-win,area:database",
H-P5,high,performance,Use np.float32 for embeddings array,TECHNICAL_DEBT.md:54,66,open,Debt-P1-QuickWins,"priority:high,quick-win,area:performance",
H-CQ2,high,code-quality,Fix GDrive processed-folder cache thread safety,TECHNICAL_DEBT.md:55,67,open,Debt-P1-QuickWins,"priority:high,quick-win,area:code-quality",
